radius,regime,n,mean_predicted_probability,empirical_event_frequency,mean_bias,ece_equal_width,ece_equal_count,max_cumulative_deviation,cumulative_range,number_of_non_empty_bins,number_of_non_empty_bins_equal_count
50,all,1000,0.22109375,0.38,0.15890625,0.15984374999999998,0.15915625,0.1600625000000001,0.1590625000000001,8,9
50,no_turn,971,0.2252832131822863,0.38722966014418125,0.16194644696189495,0.16291194644696189,0.16194644696189495,0.16313722966014385,0.1621073635427391,8,9
100,all,1000,0.466125,0.596,0.129875,0.130125,0.1319375,0.12987499999999924,0.13115624999999925,10,10
100,no_turn,971,0.4736740473738414,0.607621009268795,0.13394696189495364,0.1352342945417096,0.13407569515962925,0.13394696189495406,0.13558831101956786,10,10
200,all,1000,0.75134375,0.796,0.04465625,0.05053125000000002,0.05309374999999999,0.0490312499999995,0.0505937499999995,10,10
200,no_turn,971,0.7615538105046344,0.8105046343975283,0.04895082389289392,0.05570932028836252,0.06195288362512871,0.053456488156539514,0.056095520082389154,10,10
400,all,1000,0.89765625,0.899,0.00134375,0.020906250000000043,0.016906249999999977,0.01112500000000003,0.01331250000000003,10,6
400,no_turn,971,0.9048661174047374,0.9114315139031925,0.006565396498455201,0.0181513903192585,0.021112255406797103,0.016638774459320407,0.017282440782698368,10,6
800,all,1000,0.9538125,0.958,0.0041875,0.011062499999999977,0.017499999999999953,0.011468750000000014,0.012062500000000014,9,4
800,no_turn,971,0.9582904222451082,0.9660144181256437,0.007723995880535531,0.01255149330587028,0.019567456230690033,0.015287075180226654,0.016091658084449106,8,4
