scope,nominal,empirical,error
initial_horizon_axes,0.5,0.8766666666666667,0.3766666666666667
initial_horizon_axes,0.8,0.9576666666666667,0.15766666666666662
initial_horizon_axes,0.9,0.9723333333333334,0.07233333333333336
initial_horizon_axes,0.95,0.9773333333333334,0.02733333333333343
first_15_seconds_axes,0.5,0.8476666666666667,0.3476666666666667
first_15_seconds_axes,0.8,0.9366666666666666,0.1366666666666666
first_15_seconds_axes,0.9,0.9557777777777777,0.055777777777777704
first_15_seconds_axes,0.95,0.9654444444444444,0.015444444444444483
middle_horizon_axes,0.5,0.7475555555555555,0.24755555555555553
middle_horizon_axes,0.8,0.8793333333333333,0.07933333333333326
middle_horizon_axes,0.9,0.9192222222222223,0.01922222222222225
middle_horizon_axes,0.95,0.9465555555555556,-0.003444444444444361
last_15_seconds_axes,0.5,0.6574444444444445,0.1574444444444445
last_15_seconds_axes,0.8,0.835,0.03499999999999992
last_15_seconds_axes,0.9,0.8981111111111111,-0.00188888888888894
last_15_seconds_axes,0.95,0.9285555555555556,-0.021444444444444377
final_horizon_axes,0.5,0.638,0.138
final_horizon_axes,0.8,0.8283333333333334,0.02833333333333332
final_horizon_axes,0.9,0.8943333333333333,-0.005666666666666709
final_horizon_axes,0.95,0.9253333333333333,-0.024666666666666615
all_horizons_axes,0.5,0.7453055555555556,0.24530555555555555
all_horizons_axes,0.8,0.8806388888888889,0.08063888888888882
all_horizons_axes,0.9,0.9219166666666667,0.021916666666666695
all_horizons_axes,0.95,0.9454722222222223,-0.004527777777777686
