rank,p_sorted,y_sorted,cumulative
0,0.0,1.0,0.001
1,0.0,0.0,0.001
2,0.0,0.0,0.001
3,0.0,0.0,0.001
4,0.0,0.0,0.001
5,0.0,0.0,0.001
6,0.0,0.0,0.001
7,0.0,0.0,0.001
8,0.0,0.0,0.001
9,0.0,0.0,0.001
10,0.0,0.0,0.001
11,0.0,0.0,0.001
12,0.0,0.0,0.001
13,0.0,0.0,0.001
14,0.0,0.0,0.001
15,0.0,0.0,0.001
16,0.0,0.0,0.001
17,0.0,0.0,0.001
18,0.0,0.0,0.001
19,0.0,0.0,0.001
20,0.0,0.0,0.001
21,0.0,0.0,0.001
22,0.0,0.0,0.001
23,0.0,0.0,0.001
24,0.0,0.0,0.001
25,0.0,0.0,0.001
26,0.0,0.0,0.001
27,0.0,0.0,0.001
28,0.0,0.0,0.001
29,0.0,0.0,0.001
30,0.0,0.0,0.001
31,0.0,0.0,0.001
32,0.0,0.0,0.001
33,0.0,0.0,0.001
34,0.0,0.0,0.001
35,0.0,0.0,0.001
36,0.0,0.0,0.001
37,0.0,0.0,0.001
38,0.0,0.0,0.001
39,0.0,0.0,0.001
40,0.0,0.0,0.001
41,0.0,0.0,0.001
42,0.0,0.0,0.001
43,0.0,0.0,0.001
44,0.0,0.0,0.001
45,0.0,0.0,0.001
46,0.0,0.0,0.001
47,0.0,0.0,0.001
48,0.0,0.0,0.001
49,0.0,0.0,0.001
50,0.0,0.0,0.001
51,0.0,0.0,0.001
52,0.0,0.0,0.001
53,0.0,0.0,0.001
54,0.0,0.0,0.001
55,0.0,0.0,0.001
56,0.0,0.0,0.001
57,0.0,0.0,0.001
58,0.0,0.0,0.001
59,0.0,0.0,0.001
60,0.0,0.0,0.001
61,0.0,0.0,0.001
62,0.0,0.0,0.001
63,0.0,0.0,0.001
64,0.0,0.0,0.001
65,0.0,0.0,0.001
66,0.0,0.0,0.001
67,0.0,0.0,0.001
68,0.0,0.0,0.001
69,0.0,0.0,0.001
70,0.0,0.0,0.001
71,0.0,0.0,0.001
72,0.0,0.0,0.001
73,0.0,0.0,0.001
74,0.0,0.0,0.001
75,0.0,0.0,0.001
76,0.0,0.0,0.001
77,0.0,0.0,0.001
78,0.0,0.0,0.001
79,0.0,0.0,0.001
80,0.0,0.0,0.001
81,0.0,0.0,0.001
82,0.0,0.0,0.001
83,0.0,0.0,0.001
84,0.0,0.0,0.001
85,0.0,0.0,0.001
86,0.0,0.0,0.001
87,0.0,0.0,0.001
88,0.0,0.0,0.001
89,0.0,0.0,0.001
90,0.0,0.0,0.001
91,0.0,0.0,0.001
92,0.0,0.0,0.001
93,0.0,0.0,0.001
94,0.0,0.0,0.001
95,0.0,0.0,0.001
96,0.0,0.0,0.001
97,0.0,0.0,0.001
98,0.0,0.0,0.001
99,0.0,0.0,0.001
100,0.0,0.0,0.001
101,0.0,0.0,0.001
102,0.0,0.0,0.001
103,0.0,0.0,0.001
104,0.0,0.0,0.001
105,0.0,0.0,0.001
106,0.0,1.0,0.002
107,0.0,0.0,0.002
108,0.0,0.0,0.002
109,0.0,0.0,0.002
110,0.0,0.0,0.002
111,0.0,0.0,0.002
112,0.0,0.0,0.002
113,0.0,0.0,0.002
114,0.0,0.0,0.002
115,0.0,0.0,0.002
116,0.0,0.0,0.002
117,0.0,0.0,0.002
118,0.0,0.0,0.002
119,0.0,0.0,0.002
120,0.0,0.0,0.002
121,0.0,0.0,0.002
122,0.0,0.0,0.002
123,0.0,0.0,0.002
124,0.0,0.0,0.002
125,0.0,0.0,0.002
126,0.0,0.0,0.002
127,0.0,0.0,0.002
128,0.0,0.0,0.002
129,0.0,0.0,0.002
130,0.0,0.0,0.002
131,0.0,0.0,0.002
132,0.0,0.0,0.002
133,0.0,0.0,0.002
134,0.0,0.0,0.002
135,0.0,0.0,0.002
136,0.0,0.0,0.002
137,0.0,0.0,0.002
138,0.0,0.0,0.002
139,0.0,0.0,0.002
140,0.0,0.0,0.002
141,0.0,0.0,0.002
142,0.0,0.0,0.002
143,0.0,0.0,0.002
144,0.0,0.0,0.002
145,0.0,0.0,0.002
146,0.0,1.0,0.003
147,0.0,0.0,0.003
148,0.0,0.0,0.003
149,0.0,0.0,0.003
150,0.0,0.0,0.003
151,0.0,0.0,0.003
152,0.0,0.0,0.003
153,0.0,0.0,0.003
154,0.0,0.0,0.003
155,0.0,0.0,0.003
156,0.0,0.0,0.003
157,0.0,0.0,0.003
158,0.0,0.0,0.003
159,0.0,0.0,0.003
160,0.0,0.0,0.003
161,0.0,0.0,0.003
162,0.0,1.0,0.004
163,0.0,0.0,0.004
164,0.0,0.0,0.004
165,0.0,0.0,0.004
166,0.0,0.0,0.004
167,0.0,0.0,0.004
168,0.0,0.0,0.004
169,0.0,0.0,0.004
170,0.0,0.0,0.004
171,0.0,0.0,0.004
172,0.0,0.0,0.004
173,0.0,0.0,0.004
174,0.0,0.0,0.004
175,0.0,0.0,0.004
176,0.0,0.0,0.004
177,0.0,0.0,0.004
178,0.0,0.0,0.004
179,0.0,0.0,0.004
180,0.0,0.0,0.004
181,0.0,0.0,0.004
182,0.03125,0.0,0.00396875
183,0.03125,0.0,0.0039375
184,0.03125,0.0,0.00390625
185,0.03125,0.0,0.003875
186,0.03125,0.0,0.00384375
187,0.03125,0.0,0.0038125
188,0.03125,0.0,0.00378125
189,0.03125,0.0,0.00375
190,0.03125,0.0,0.00371875
191,0.03125,0.0,0.0036875
192,0.03125,0.0,0.0036562499999999998
193,0.03125,0.0,0.0036249999999999998
194,0.03125,0.0,0.0035937499999999997
195,0.03125,0.0,0.0035624999999999997
196,0.03125,0.0,0.0035312499999999997
197,0.03125,0.0,0.0034999999999999996
198,0.03125,0.0,0.0034687499999999996
