bin_id,bin_lower,bin_upper,count,mean_p,empirical_freq,abs_gap
0,0.0,0.34375,97,0.11404639175257732,0.1134020618556701,0.0006443298969072142
1,0.34375,0.625,87,0.49748563218390807,0.5632183908045977,0.06573275862068961
2,0.625,0.75,114,0.6790021929824561,0.8157894736842105,0.1367872807017544
3,0.75,0.8125,97,0.7657860824742269,0.7731958762886598,0.007409793814432963
4,0.8125,0.84375,84,0.8125,0.9523809523809523,0.13988095238095233
5,0.84375,0.875,83,0.84375,0.9036144578313253,0.059864457831325324
6,0.875,0.90625,100,0.875,0.89,0.015000000000000013
7,0.90625,0.9375,86,0.90625,0.9651162790697675,0.05886627906976749
8,0.9375,0.96875,121,0.9375,0.9669421487603306,0.029442148760330578
9,0.96875,1.0,131,0.9782919847328244,0.9465648854961832,0.03172709923664119
