scope,axis,n,mean,std,std_gap,skew,tail_mass,center_mass,ks,ks_pvalue,mode
initial_horizon,x,1000,0.49459375,0.14660570725056205,-0.14206942734425088,0.029218389210895014,0.007,0.532,0.23424999999999996,1.8448070231842994e-48,overdispersed
initial_horizon,y,1000,0.46840625,0.1373396757074863,-0.15133545888732663,0.22812132494310958,0.004,0.546,0.269,9.062862054788378e-64,overdispersed
initial_horizon,z,1000,0.5005,0.20633933671261037,-0.08233579788220255,-0.036498089616494284,0.111,0.541,0.20175,4.679100718336461e-36,overdispersed
first_15_seconds,x,3000,0.49361458333333336,0.15518359387564049,-0.13349154071917244,-0.05934500970242467,0.018666666666666668,0.536,0.23016666666666663,4.369410058526782e-139,overdispersed
first_15_seconds,y,3000,0.47367708333333336,0.1397524127543411,-0.1489227218404718,0.2433831829011655,0.009333333333333334,0.5626666666666666,0.26708333333333334,3.921996416726954e-187,overdispersed
first_15_seconds,z,3000,0.5104895833333334,0.23325774235951896,-0.05541739223529396,-0.0814704366898437,0.15933333333333333,0.488,0.17933333333333334,1.3324244864773652e-84,overdispersed
middle_horizon,x,3000,0.49890625,0.20334709412751434,-0.08532804046729858,-0.06654525370740398,0.075,0.44433333333333336,0.16825,1.6137044467506961e-74,overdispersed
middle_horizon,y,3000,0.4856666666666667,0.18851709784673526,-0.10015803674807766,0.14176698808487015,0.05733333333333333,0.4706666666666667,0.20016666666666671,2.697194913025899e-105,overdispersed
middle_horizon,z,3000,0.5097083333333333,0.2624109835840633,-0.026264151010749637,-0.009654841373100558,0.22466666666666665,0.413,0.13466666666666666,6.829566189288899e-48,overdispersed
last_15_seconds,x,3000,0.49240625,0.24130440678066953,-0.04737072781414339,0.020025979204516247,0.13,0.343,0.12016666666666664,3.2052571999278126e-38,overdispersed
last_15_seconds,y,3000,0.49425,0.23250394261890125,-0.056171191975911666,0.061023059613234926,0.12133333333333333,0.389,0.13208333333333333,4.3455690250001464e-46,overdispersed
last_15_seconds,z,3000,0.5112395833333333,0.26977090472718956,-0.018904229867623357,0.0013723113793536188,0.23366666666666666,0.37666666666666665,0.10733333333333334,1.4045837150579882e-30,overdispersed
final_horizon,x,1000,0.49028125,0.24840561705794315,-0.040269517536869776,0.04015772595779608,0.142,0.321,0.11350000000000005,1.0570514455752817e-11,overdispersed
final_horizon,y,1000,0.494375,0.2399129073747388,-0.04876222722007412,0.07135866622732015,0.128,0.377,0.11775000000000002,1.4579961863012825e-12,overdispersed
final_horizon,z,1000,0.51325,0.27108762421032795,-0.017587510384484972,0.010914467970365218,0.235,0.368,0.11074999999999999,3.6638304926269113e-11,overdispersed
all_horizons,x,12000,0.49461458333333336,0.20499055464986604,-0.08368457994494688,-0.022762213494213347,0.07758333333333334,0.4380833333333333,0.1695833333333333,7.701661094084635e-301,overdispersed
all_horizons,y,12000,0.48576302083333334,0.19247613951755915,-0.09619899507725377,0.1509568277875869,0.06416666666666666,0.4703333333333333,0.1955,0.0,overdispersed
all_horizons,z,12000,0.5099947916666666,0.25810691517348633,-0.030568219421326592,-0.021581818464183958,0.21108333333333335,0.4210833333333333,0.13716666666666666,5.763886995236096e-197,overdispersed
