sample_index,flight_id,p_hat,y_true,d_truth_to_center_m,mean_sample_to_center_m,bin_id_equal_width,bin_id_equal_count
23218,24/08/19_TVS6N7_5532,0.46875,0.0,126.90177917480469,118.48644256591797,4,4
20731,24/05/20_JAF745_2134,0.3125,1.0,15.508062362670898,199.42388916015625,3,2
39555,24/08/16_VLG5WE_575,0.03125,0.0,329.8102722167969,455.664794921875,0,1
147506,24/06/24_NJE384F_5686,0.34375,1.0,51.60002517700195,148.64541625976562,3,2
314215,24/12/17_EZY45DM_2143,0.4375,0.0,103.32745361328125,178.5701904296875,4,3
190913,24/04/29_TAP557H_4835,0.46875,1.0,13.937920570373535,116.87239074707031,4,4
296715,24/11/21_DFRRR_1685,0.3125,0.0,118.25456237792969,275.5160217285156,3,2
141482,24/10/24_DLH95T_2178,0.75,1.0,30.557579040527344,69.09226989746094,7,9
49119,24/06/06_VLG45FT_617,0.25,1.0,69.3000717163086,182.68600463867188,2,2
208005,24/06/08_GAC265E_3818,0.0,0.0,220.15463256835938,403.716064453125,0,0
357337,24/07/24_AUA47B_4564,0.4375,1.0,42.75018310546875,200.112060546875,4,3
391118,24/07/28_N155RW_8801,0.625,1.0,70.24210357666016,143.77685546875,6,7
358922,24/02/17_RYR5477_5599,0.5625,1.0,6.72681188583374,99.38679504394531,5,6
114136,24/09/10_EJU71TQ_4027,0.21875,0.0,510.3612976074219,236.17247009277344,2,2
65706,24/01/30_DLH1843_1459,0.0,0.0,131.45704650878906,276.04852294921875,0,0
363838,24/02/16_ITL201_198,0.78125,1.0,20.676450729370117,62.911109924316406,7,9
28871,24/06/09_EZY47CV_3099,0.0625,1.0,64.86825561523438,396.5137939453125,0,1
224830,24/05/25_CTN52R_7720,0.6875,1.0,41.10523986816406,96.97030639648438,6,8
99085,24/03/30_ITY149_4983,0.375,0.0,351.5640869140625,172.518798828125,3,3
257076,24/08/29_BAW53YR_3638,0.625,1.0,22.530881881713867,101.03195190429688,6,7
226523,24/05/13_VLG69UM_8874,0.75,0.0,161.27944946289062,85.34581756591797,7,9
381071,24/10/31_EXS78NL_2406,0.6875,1.0,9.414085388183594,65.37091064453125,6,8
202954,24/10/20_RYR6RN_10827,0.1875,0.0,2085.31298828125,438.80859375,1,1
370109,24/07/24_AFR71JB_1392,0.0625,0.0,104.85525512695312,246.0544891357422,0,1
317625,24/09/18_MBU6584_9239,0.375,1.0,6.833968639373779,149.08889770507812,3,3
189980,24/06/18_BEL3UB_4685,0.4375,0.0,213.2666015625,158.6376953125,4,3
346725,24/01/07_EDW84_3701,0.5625,1.0,67.12348937988281,159.36798095703125,5,6
215008,24/09/18_AFR56VV_1574,0.5,1.0,38.0963020324707,117.37098693847656,5,4
358313,24/09/13_EJU48KY_4088,0.6875,1.0,4.881405830383301,87.74729919433594,6,8
100074,24/10/24_RYR99DJ_7929,0.65625,1.0,38.694313049316406,82.29754638671875,6,8
66465,24/05/27_ELG52T_2836,0.59375,1.0,13.48900032043457,81.37655639648438,5,6
359345,24/06/19_LOT4YJ_5440,0.71875,1.0,30.156105041503906,118.96745300292969,7,8
327506,24/08/19_EDW439_6082,0.03125,0.0,567.1995849609375,663.4947509765625,0,1
143393,24/09/19_ITY159_8011,0.59375,1.0,12.186698913574219,91.1204605102539,5,6
10817,24/06/30_RYR2438_7013,0.78125,1.0,99.02217102050781,119.2332534790039,7,9
252178,24/06/22_AEA1518_800,0.46875,1.0,30.888914108276367,113.7821273803711,4,4
384627,24/05/05_EJU3859_3559,0.59375,1.0,81.09147644042969,91.70591735839844,5,6
387512,24/02/16_RYR95JU_5009,0.8125,1.0,40.4870719909668,99.28843688964844,8,9
366149,24/08/08_IBE32FF_869,0.8125,1.0,9.612004280090332,75.856201171875,8,9
12872,24/01/30_MEA212_5233,0.5,1.0,47.374176025390625,108.3971176147461,5,4
119488,24/05/13_AFR98HR_1566,0.65625,1.0,24.724735260009766,93.35955810546875,6,8
347998,24/03/31_AFR23HH_833,0.75,1.0,29.633174896240234,103.91413116455078,7,9
15506,24/08/23_EVA088_10243,0.4375,1.0,19.951894760131836,144.9434356689453,4,3
131539,24/09/30_RYR4VE_8427,0.6875,1.0,56.10551071166992,75.72789764404297,6,8
65757,24/05/09_SWR9EK_8549,0.4375,1.0,97.13135528564453,194.5340118408203,4,3
211905,24/08/29_ABR8XP_8372,0.53125,1.0,34.37590789794922,151.88714599609375,5,5
112108,24/05/27_EXS57G_3329,0.375,1.0,42.85002899169922,206.04476928710938,3,3
209782,24/09/23_AFR48HU_1589,0.71875,0.0,158.0381622314453,68.6025161743164,7,8
154749,24/06/18_DLH32A_2406,0.78125,1.0,81.70880126953125,108.94027709960938,7,9
290452,24/05/27_VJT423_8662,0.03125,0.0,109.77279663085938,282.0643615722656,0,1
68724,24/08/30_DLH44E_2692,0.0625,0.0,197.58541870117188,818.2060546875,0,1
141498,24/04/04_EZS84ZD_4610,0.0,1.0,78.0196304321289,389.975341796875,0,0
295068,24/06/06_EJU89KF_4287,0.09375,0.0,159.2655487060547,448.8265075683594,0,1
34840,24/09/10_ITL201_271,0.65625,1.0,29.766801834106445,80.44679260253906,6,8
137645,24/05/23_RYR86MJ_8217,0.78125,1.0,24.82343864440918,65.8611831665039,7,9
124552,24/05/27_AFR27VR_992,0.5,1.0,40.6724739074707,118.56443786621094,5,4
72935,24/02/04_RYR66UL_4513,0.75,1.0,48.065059661865234,95.26342010498047,7,9
61983,24/08/08_NJE309H_5648,0.46875,1.0,65.23479461669922,202.7421875,4,4
73698,24/09/21_DLH53F_2063,0.375,0.0,773.6343383789062,208.2473907470703,3,3
308783,24/10/18_THY70V_8288,0.625,1.0,56.30552673339844,122.21450805664062,6,7
272347,24/05/27_RYR4KP_7067,0.625,0.0,316.6957702636719,136.53067016601562,6,7
246477,24/08/29_EWG8DM_2265,0.5,1.0,39.98300552368164,157.31851196289062,5,4
49012,24/08/13_PGT950_6787,0.375,1.0,71.87804412841797,214.4359893798828,3,3
5789,24/10/18_LBT508_126,0.0625,0.0,215.30239868164062,410.1285095214844,0,1
70967,24/04/29_CFG2YX_1957,0.8125,0.0,129.01992797851562,102.83219909667969,8,9
